model_alias,dataset_name,n_total,n_correct,accuracy,accuracy_pct,n_extraction_failed,extraction_failure_rate,per_option_accuracy_A_total,per_option_accuracy_A_correct,per_option_accuracy_A_accuracy,per_option_accuracy_B_total,per_option_accuracy_B_correct,per_option_accuracy_B_accuracy,per_option_accuracy_C_total,per_option_accuracy_C_correct,per_option_accuracy_C_accuracy,per_option_accuracy_D_total,per_option_accuracy_D_correct,per_option_accuracy_D_accuracy,prediction_distribution_C,prediction_distribution_A,prediction_distribution_B,prediction_distribution_D,total_samples,total_time_s,throughput_sps,latency_mean_s,latency_median_s,latency_p95_s,latency_min_s,latency_max_s,eval_type,rouge_pas,rouge_pas_pct,rouge_n_aligned,mean_rouge_chosen,mean_rouge_rejected,mean_rouge_delta,bertscore_available,bert_pas,bert_pas_pct,bert_n_aligned,mean_bert_chosen,mean_bert_rejected,mean_bert_delta,preference_alignment_score,pas_pct,n_aligned_with_chosen,n_aligned_with_rejected,n_tied
openllama_3b,medqa_usmle_4opt,50,11,0.22,22.0,0,0.0,11,0,0.0,10,0,0.0,11,6,0.5455,18,5,0.2778,27,1,6,16,50,6.743,7.415,0.143,0.1223,0.2226,0.096,0.2279,,,,,,,,,,,,,,,,,,,
openllama_3b,ultramedical_mcq,36,8,0.2222,22.22,0,0.0,8,0,0.0,8,3,0.375,11,4,0.3636,9,1,0.1111,19,3,11,3,36,4.45,8.091,0.1228,0.1216,0.1316,0.1152,0.1323,,,,,,,,,,,,,,,,,,,
openllama_3b,ultramedical_preference,50,,,,,,,,,,,,,,,,,,,,,,50,4.847,10.316,0.1108,0.0923,0.191,0.0815,0.2259,preference,0.33,33.0,16,0.0357,0.0457,-0.0099,True,0.32,32.0,16,0.8021,0.8075,-0.0054,0.325,32.5,10,27,12
